mb_sn,Q1,Q2,Q3,Q4,Q5,Q5_1,Q6,Q7,Q8,Q9_1,Q9_2,Q10,Q11_1,Q11_2,Q12,Q12_1,Q12_1_ETC,Q12_2,Q12_2_ETC,Q13,Q13_ETC
w153059172546077,2,2,4,1,14,,,,"1,2,3,4,5,6,,,9,,,12,,14,,,,,,20,,22,23,24,25,,,",2,2004,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,7,,,",
w196940566139039,2,2,2,1,8,21,3,4,"1,2,3,4,5,6,7,,9,,11,12,13,,15,,,18,,20,,,23,24,25,26,27,28",2,2003,1,1,프라이드,"1,,,,",",,,,,,,,,,,12,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,5,6,,,,",
w415367239274915,2,2,4,3,14,,2,5,"1,2,3,4,5,6,7,8,9,,,,,,,,,,,20,,22,23,,25,,,",2,2004,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,,,,,",
w179172936021503,2,2,2,1,10,1,5,11,"1,2,3,4,5,,,8,9,,11,,,14,,,,18,,,,22,,24,,,,",3,3004,1,1,프라이드,"1,,,,",",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,,,,,",
w265828788823269,2,2,4,4,3,16,6,6,"1,2,3,4,5,,,,9,,11,,,,15,,17,18,,20,,22,23,24,25,26,,28",2,2007,1,1,프라이드,"1,,,,",",,,,,,,,9,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,,,,",
w4919167725098,2,1,3,3,14,,1,5,"1,2,3,4,5,6,,8,9,,11,12,,,15,,,18,,20,,22,23,24,25,26,,28",2,2008,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",2,3,,,,,,,",
w207769010133849,3,1,1,1,14,,3,3,"1,2,3,4,5,6,7,8,9,,,,13,,15,,,18,,20,,22,23,24,25,,,28",2,2008,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,6,7,8,,",
w230992935681309,2,1,3,3,6,3,2,5,"1,2,,4,5,6,7,8,9,,11,,,14,15,,17,18,,20,,22,23,,25,,27,28",2,2002,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,6,7,8,,",
w242902677786467,2,1,3,3,7,2,2,4,"1,2,,4,5,6,7,,9,,,12,,,,,,18,,20,,,,24,25,,,28",2,2003,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,,,4,,,,,,",
w51171920718018,2,1,5,3,4,2,3,6,"1,2,3,4,5,,,,9,,11,12,,,,,,18,,20,,22,23,24,25,,,",2,2004,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,6,7,,,",
w10367043324570,2,,2,3,6,5,3,3,"1,2,,4,5,6,7,,,,11,12,,14,15,16,17,,19,20,,22,,24,25,,,",1,1003,1,1,프라이드,"1,,3,,","1,2,,,5,,,,,,,,,,15,16,17,18,,20,,,,24,,26,,,,",,",,,,",,",,,,,,,,,10",
w302385634949418,2,,2,4,14,,3,4,",2,,4,5,,7,,,,11,12,,,,,,18,,,,22,23,,25,26,,28",1,1002,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,6,,8,,",
w163857022331535,2,,2,3,9,21,3,4,"1,2,,4,5,6,,8,9,,11,12,,,15,16,,,19,20,,22,23,24,25,26,,28",2,2005,1,1,프라이드,"1,2,3,,","1,2,3,4,5,6,,8,9,10,11,,13,,15,16,17,18,19,20,,22,,,25,,27,28,29,",,"1,2,3,,5",,"1,2,3,4,5,6,,8,,",
w273370228494887,2,,2,4,1,8,,,"1,2,,4,5,,7,,9,,,12,,,,,,18,,,,22,,,25,,,",2,2007,1,1,프라이드,"1,2,,,","1,2,3,,5,,,8,9,,,,,,15,16,,18,19,20,,,,24,,,,,,",,",2,,,",,"1,2,3,4,5,6,,8,,",
w212631838865232,1,,1,3,4,8,3,3,",2,,4,5,,7,8,,,11,,,,,,,18,,20,,22,23,24,25,26,27,28",1,1008,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,,5,6,7,,,",
